,Doohooma (Dumha Thuama)
,Doon
,Doonbeg
,Drangan
,Drimoleague
,Drogheda
,Dromahair
,Dromina
,Dromineer
,Dromiskin
,Drommahane
,Dromore West
,Drumcollogher
,Drumconrath
,Drumkeen
,Drumkeeran
,Drumlish
,Drumod
,Drumshanbo
,Drumsna
,Duagh
,Dublin (Baile Átha Cliath)
,Duleek
,Dunboyne
,Duncannon
,Duncormick
,Dundalk
,Dunderrow
,Dundrum
,Dunfanaghy
,Dungarvan
,Dunhill
,Dunkineely
,Dunlavin
,Dunleer
,Dunmanway
,Dunmore
,Dunmore East
,Dunshaughlin
,Durrow
,Durrus
,Easky
,Edenderry
,Edgeworthstown (Meathas Truim)
,Elphin
,Emly
,Emo
,Emyvale
,Enfield
,Ennis
,Enniscorthy
,Enniscrone (Inniscrone)
,Enniskerry
,Ennistymon (Ennistimon)
,Errill (Erril)
,Eyrecourt
,Fahan
,Farran
,Feakle
,Fedamore
,Fenit
,Fennagh
,Ferbane
,Fermoy
,Ferns
,Fethard
,Fethard-on-Sea
,Fiddown
,Fieries
,Foxford
,Foynes
,Freemount
,Frenchpark
,Freshford
,Galbally
,Galway
,Garristown
,Geashill
,Glanworth
,Glassan
,Glasslough (Glaslough)
,Gleann Cholm Cille
,Glenamaddy
,Glenbeigh
,Glencullen
,Glenealy
,Gleneely
,Glengarriff
,Glenties
,Glenville
,Glin
,Gneevgullia
,Gob an Choire (Achill Sound)
,Golden
,Goresbridge
,Gorey
,Gormanston
,Gort
,Gort an Choirce (Gortahork)
,Gortnahoo (Gortnahoe)
,Gowran
,Graiguenamanagh - Tinnahinch
,Granard
,Grange
,Grangemore (Brannockstown)
,Greencastle
,Grenagh
,Greystones - Delgany
,Gurteen (Gorteen)
,Hacketstown
,Halfway
,Headford
,Holycross
,Hospital
,Inagh
,Inchigeelagh
,Inistioge
,Innishannon (Inishannon)
,Inniskeen
,Irishtown
,Jenkinstown
,Johnstown
,Johnstown
,Johnstownbridge
,Julianstown
,Kanturk
,Keadew
,Keel - Dooagh
,Keenagh
,Kells
,Kells (Ceannanus Mór)
,Kenmare
,Kentstown
,Kernanstown
,Keshcarrigan
,Kilbeggan
,Kilberry
,Kilbrin
,Kilbrittain
,Kilcloon
,Kilcock
,Kilcolgan
,Kilcoole
,Kilcormac (Frankford)
,Kilcullen
,Kilcummin
,Kildalkey
,Kildangan
,Kildare
,Kildavin
,Kildimo
,Kildorrery
,Kildrum
,Kildysart
,Kilfenora
,Kilfinane (Kilfinnane)
,Kilflynn
,Kilgarvan
,Kilkee
,Kilkelly
,Kilkenny
,Kilkishen
,Kill
,Kill
,Killala
,Killaloe
,Killarney
,Killashee
,Killavullen
,Killeagh
,Killeigh
,Killenard
,Killenaule
,Killeshandra
,Killimor
,Killinierin
,Killorglin
,Killucan - Rathwire
,Killumney
,Killurin
,Killurin
,Killybegs
,Killygordon (Killygordan)
,Kilmacanogue
,Kilmacow
,Kilmacrennan
,Kilmacthomas
,Kilmaine
,Kilmainhamwood
,Kilmaley
,Kilmallock
,Kilmead (Kilmeade)
,Kilmeaden
,Kilmeage
,Kilmessan
,Kilmihil (Kilmihill)
,Kilmoganny
,Kilmore
,Kilmore Quay
,Kilmuckridge (Kilmuckeridge)
,Kilmurry (Ballymulcashel)
,Kilnaleck
,Kilpedder
,Kilrush
,Kilsheelan
,Kilteel
,Kilteely
,Kiltimagh
,Kilworth
,Kingscourt
,Kinlough
,Kinnegad
,Kinnitty
,Kinsale
,Kinsaley
,Kinsealy - Drinan
,Kinvara (Kinvarra)
,Knightstown
,Knock
,Knockananna
,Knockbridge
,Knockcroghery
,Knocklong
,Knocknagree
,Knockraha
,Knocktopher
,Lackaghbeg (Lackagh)
,Ladysbridge (Knockglass)
,Ladytown (Two Mile House)
,Laghy
,Lahardane
,Lahinch (Lehinch)
,Lanesborough - Ballyleague
,Laragh
,Laytown - Bettystown - Mornington - Donacarney
,Leap
,Legan
,Leighlinbridge
,Leitrim
,Leixlip
,Lemybrien
,Letterkenny
,Lifford
,Limerick
,Liscannor
,Liscarroll
,Lisdoonvarna
,Lismore
,Lisronagh
,Lissycasey
,Listowel
,Littleton
,Lixnaw
,Loch an Iúir (Loughanure)
,Longford
,Longwood
,Lordship (Rampark)
,Loughglinn
,Lough Gowna (Loch Gowna)
,Loughrea
,Loughshinny
,Louisburgh
,Louth
,Lusk
,Lyre
,Macroom
,Maigh Cuilinn (Moycullen)
,Malahide
,Malin
,Mallow
,Manorcunningham
,Manorhamilton
,Manor Kilbride
,Maynooth
,Midleton
,Milford
,Milford
,Millstreet
,Milltown
,Milltown
,Milltown
,Miltown Malbay
,Mín Lárach (Meenlaragh)
,Mitchelstown
,Moate
,Model Village (Dripsey)
,Mogeely
,Mohill
,Monaghan
,Monamolin (incl. Ballyedmond)
,Monard
,Monasterevin
,Moneenroe
,Moneygall
,Monivea
,Mooncoin
,Moroe
,Mountbellew
,Mountcharles
,Mountcollins
,Mountmellick
,Mountrath
,Mountshannon
,Moville
,Moylough
,Mucklagh
,Muff
,Muinebeag (Bagenalstown)
,Mullagh
,Mullaghmore
,Mullinahone
,Mullinavat
,Mullingar
,Mulranny
,Multyfarnham
,Mungret
,Murntown (Murrintown)
,Myrtleville (incl. Fountainstown)
,Myshall
,Naas
,"Na Dúnaibh (Crocknamurleog, Cnoc na Muirleog)"
,Na Forbacha (Furbogh)
,Narraghmore
,Naul
,Navan (An Uaimh)
,Nenagh
,Newbawn
,Newbliss
,Newbridge (Droichead Nua)
,Newcastle
,Newcastle
,Newcastle
,Newcastle West
,Newmarket
,Newmarket-on-Fergus
,Newport
,Newport
,New Ross
,Newtown
,Newtown (Newtownshandrum)
,Newtown
,Newtowncunningham
,Newtownforbes
,Newtownmountkennedy
,Newtownsandes (Moyvane)
,Nobber
,Nurney
,O'Briensbridge - Montpelier
,Oilgate (Oylegate)
,Oldcastle
,Oldtown
,Omeath
,Oola
,Oram
,Oranmore
,Oughterard
,Oulart
,Palatine
,Pallasgreen (Pallas Grean)
,Pallaskenry
,Parteen
,Passage East
,Passage West - Monkstown
,Patrickswell
,Paulstown
,Pettigo (Irish part)
,Piercetown
,Piltown
,Pollagh
,Portarlington
,Portlaoise (Maryborough)
,Portlaw
,Portmagee
,Portmarnock
,Portrane
,Portroe
,Portumna
,Prosperous
,Puckaun
,Quigleys Point
,Quilty
,Quin
,Raharney
,Ramelton
,Rann na Feirste (Ranafast)
,Raphoe
,Rathangan
,Rathard - Aherla
,Rathcoffey
,Rathcoole
,Rathcoole
,Rathcormac
,Rathdowney
,Rathdrum
,Rathkeale
,Rathmolyon
,Rathmore
,Rathmullan (Rathmullen)
,Rathnew
,Rathowen
,Rathtoe
,Rathvilly
,Ratoath
,Rear Cross (Reardnogy)
,Redcross
,Rhode
,Ringaskiddy - Loughbeg
,Rivermeade
,Riverstick
,Riverstown
,Robertstown
,Robinstown (Balbradagh)
,Rochfortbridge
,Rockcorry
,Roosky
,Roscommon
,Roscrea
,Rosegreen
,Rosscahill
,Rosscarbery
,Rosses Point
,Rosslare
,Rosslare Harbour (Ballygeary; incl. Kilrane)
,Roundstone
,Roundwood
,Rush
,Saggart
,Saleen
,Sallins
,Scarriff - Tuamgraney
,Schull
,Scotshouse
,Scotstown
,Shanagarry
,Shanagolden
,Shanbally
,Shanballymore
,Shannon
,Shannonbridge
,Shercock
,Shillelagh
,Shinrone
,Shrule
,Silvermines
,Sixmilebridge
,Skerries
,Skibbereen
,Slane
,Slieverue
,Sligo
,Smithborough
,Sneem
,Spa
,Spanish Point
,Stamullen
,St. Johnston
,Stoneyford
,Stradbally
,Stradbally
,Straffan
,Strandhill
,Stratford (Stratford-on-Slaney)
,Strokestown
,Summerhill
,Suncroft
,Swanlinbar
,Swinford
,Swords
,Taghmon
,Tagoat (Grahormac)
,Tallanstown
,Tallow
,Tarbert
,Templemore
,Templetuohy
,Termonbarry (Tarmonbarry)
